Dimension,ASIN,Date_First_Available,Manufacturer,Store,Country_of_Origin,Best_Sellers_Rank,Color,Item_Model_Number,Item_Weight,Price,Amazon_Global_Shipping,Estimated_Import_Charges,Description,5-star,4-star,3-star,2-star,1-star
7.28 x 5.71 x 1.57 inches,B0DFBXKLXM,None,CA33411,QWORK Store,None,None,None,DG33411,None,$15.97,None,None,"['Materials: Constructed with rust-resistant metal and a rubber hose, ensuring long-lasting and safe use for your refrigeration system.', 'Comprehensive Kit: Includes a piercing valve, hex key, and two adapters, providing all the necessary tools for a complete recharge.', 'Wide Compatibility: Fits 1/4"", 5/16"", and 3/8"" diameter pipes, replacing multiple adapter types.', 'R134a Self-Sealing Adapter: Equipped with a male to female adapter for user-friendly connection to self-sealing cans and direct puncture of refrigerant cans.', 'Practical and Reliable: Features a pressure-resistant rubber hose with color-coded Fahrenheit gauge readings for accurate monitoring of R134, R12, and R22 refrigerants.']",0%,0%,0%,0%,0%
9.02 x 8.43 x 4.33 inches; 3.27 Pounds,B0DNV2Z2TZ,None,Permatex,Brand: Generic,None,None,None,None,None,$69.99,None,None,"['Fast-curing formula is sensor safe, low odor and non-corrosive', 'Retains high flexibility, oil resistance properties through use of a patented adhesion system', 'Ensures extended drivetrain warranty compliance', 'Temperature range -65F to 550F intermittent', 'Suggested Applications: Valve covers, oil pans, intake manifold end seals, timing covers, transmission pans']",0%,0%,0%,0%,0%
8.03 x 5.79 x 1.5 inches; 7.83 ounces,B0DQ244KCM,None,Permatex,Brand: Generic,None,None,None,None,None,$15.99,None,None,"['High Performance Formula - Ultra Grey Silicone Gasket Maker is Sensor-Safe, With a Formula Designed to Provide Reliable “Formed-in-Place” Gaskets for Mechanical Assemblies', 'Vibration Resistant - 82194 Ultra Grey Offers Maximum Vibration Resistance, Withstanding High Torque Loads While Creating a Tough, Flexible, Silicone Rubber Gasket', 'Long-Lasting Durable Silicone Gasket with Temperature Resistance from -65°F to 500°F (-54°C to 260°C).', 'Multi-Purpose Gasket Material - Ultra Grey Silicone Gasket Maker Retains High Torque and Vibration Resistance and Can Be Used to Replace Pre Cut Gaskets or Be Used as a Gasket Maker or Gasket Sealant', 'Suggested Applications: Valve Covers, Water Pump Housings, Intake Manifold End Seals, Thermostat Housings, Timing Gear Covers, Transmission Pans, and Oil Pans']",100,0%,0%,0%,0%
9.13 x 6.81 x 1.77 inches,B0DQ4RP5SR,None,Deicing Agent for Car Windshield,Brand: Generic,None,None,None,Deicing Agent for Car Windshield,None,$6.88,None,None,"['【Quick Defrosting】: Eliminate freezing windprotects with ease using our efficient ice removal spray. Penetrating quickly, it effectively removes frost and ice from the surfaces, saving you time and effort. Our powerful agent leaves no left or damage, providing a hassle-free solution in any weather conditions.', ""【Enhanced Safety】: Don't let ice on glass affect your driving. Spray our Snow Melting Spray before driving to quickly break down the ice, resulting in clear visibility and safe driving. Watch the rapid snow melting and enjoy a hassle-free ride."", '【Easy to Use】: Ice on the glass can affect the driving route before use. spraying, the ice and snow begin to melt into water. Melt ice, snow, defrost, spray, wipe, and the ice and snow will quickly mel.', ""【Convenient Size】: The 60ML(2.1 fl oz) bottle is small and lightweight, making it easy to store in your car's glove box or center console for quick access when you need it."", '【Vast Application】: Banish ice from exhaust pipes, mirrors, headlights & more without damaging surfaces Effortless application for furniture, glass, front windprotects, and keyholes. This deicing spray effectively removes frost or ice from your windshield surface. Simply spray deicer evenly, and after spraying, snow removal is made effortless. Perfect for clearing keyholes without introducing any damage.']",34,0%,24,0%,42
3 x 2 x 1 inches; 0.16 ounces,B0DPH9PT9N,None,LIIZOUSUDA,LIIZOUSUDA Store,None,None,None,None,None,$6.99,None,None,"['MEDIUM-STRENGTH THREAD SEALANT: High-temperature thread sealant locks and seals threaded fittings. Resists leakage, vibration loosening, moisture, hydraulic fluids, and diesel fuels. This high-temperature thread sealant lubricates threads for easy assembly and disassembly. Won’t shred or wear like Teflon tape.', 'HIGH TEMPERATURE SEALANT: Parts may be repositioned up to 4 hours after application. Temperature range -65°F to 400°F (-54°C to 204°C). Designed for the thread sealant for taper/taper threads and fittings.', 'EXCELLENT CHEMICAL AND THERMAL RESISTANCE: Locks and seals threaded fittings. Resists leakage, vibration loosening, moisture, hydraulic fluids, and diesel fuels. Lubricates threads for easy assembly and disassembly. (Please note the product is not recommended for use on plastic piping.)', 'SUGGESTED APPLICATIONS FOR AUTOMOBILES INCLUDE: Head bolts into through holes, oil PSI sending units and sensors, oil and coolant lines, fuel fittings, rear axle fill plug, brake and power steering fittings.', 'SUGGESTED HEAVY-DUTY APPLICATIONS INCLUDE: differential drain plugs and core plugs, pipe, water jackets, oil gallery plugs, oil pressure and temperature sensors, air conditioning fittings, hydraulic fittings, and vacuum line connectors.']",0%,0%,0%,100,0%
3 x 2 x 1 inches; 0.16 ounces,B0DP9SNZVB,None,LIIZOUSUDA,LIIZOUSUDA Store,None,None,None,None,None,$6.99,None,None,"['UNBREAKABLE BOND: These reusable threadlockers work with metal and plastic fasteners. They are applied to the fastener before assembly and once dried, create a firm, semi-solid layer inside the threads to absorb vibration and prevent loosening. Reusable threadlockers are designed for easy adjustment and removal', 'PROFESSIONAL-GRADE PERFORMANCE: Our Threadlocker has strong adhesive properties that hold screws, nuts, and metal fasteners securely in place and prevent loosening due to vibration. Our locking threadlockers are ideal for solving loose-fixing problems! Our thread lockers offer superior locking strength and unmatched reliability compared to other leading brands', ""WATERPROOF AND RUST-PROOF: Our Locking Threadlocker is heat- and water-resistant, giving you a long-lasting, secure lock that's perfect for indoor and outdoor use. It not only prevents leaks, rust, and corrosion but also saves you money on an expensive stock of locknuts and washers"", 'EASY TO USE: Our threadlockers are designed with a sealed, leak-proof design that prevents leaks. Simply apply Threadlocker evenly to the threads, tighten the nut, and it cures initially in 10 minutes, then fully cures in 24 hours', 'VERSATILE USE: Suitable for tightening and maintaining all the following metal screws, including automobiles, motorcycles, bicycles, furniture, household appliances, electronic and digital products, industrial equipment, and so on. Just one bottle of Threadlocker is all you need to ensure the proper and safe operation of your equipment']",100,0%,0%,0%,0%
6.26 x 4.21 x 3.11 inches,B0DPHKTQ33,None,12V,Brand: MICLSRS,None,None,None,Car Heaters for Vehicle,None,$15.88,None,None,"[""Efficient Heating & Defrosting: This 12V car heater plugs conveniently into your vehicle's cigarette lighter, providing quick heating. With a robust 150W power, it acts as an efficient windshield defogger and demister, enhancing driving safety by ensuring clear visibility."", '2-in-1 Heater & Fan: Our portable heater for cars serves dual functions to meet all your seasonal needs. It generates warmth during the chill of winter, and offers a cool breeze in the heat of summer.', '360° Rotatable Base: The heater is built with a 360° rotating base, allowing you to adjust the direction of the airflow as needed. The package includes double-sided tape to secure the heater at your preferred location.', 'Universal Compatibility: Designed for all vehicles with a 12V socket, our heater is a useful accessory for cars, golf carts, UTVs, and other vehicles. It also works as an efficient 12V heater for car camping adventures.', 'User-Friendly Installation: Setting up our car heater is a breeze. Just plug it into your vehicle’s cigarette lighter, choose your mode (heating or cooling), and enjoy a comfortable journey. The inclusion of double-sided tape ensures safe and stable installation.']",7,0%,0%,17,76
5 x 5 x 6.75 inches,B0DMWV2HY2,None,HY1021121,Brand: Autotecnica,None,None,None,HY1021121,None,$125.52,None,None,"['Guaranteed fitment', 'Replacement of your cracked and leaking power steering reservoir helps prevent low-fluid cavitation and ""run dry"" damage to power steering pump', 'Manufactured to OE power steering reservoir dimensions for proper clearance and factory appearance', 'High-quality heat and oil-resistant polymer tank material withstands intense engine heat and high pressure pump pulsation', '24 Month Unlimited Mileage Warranty']",0%,0%,0%,0%,0%
6.5 x 4.25 x 4.25 inches,B0DMWW65GD,None,CY1021302,Brand: Autotecnica,None,None,None,CY1021302,None,$69.50,None,None,"['Guaranteed fitment', 'Replacement of your cracked and leaking power steering reservoir helps prevent low-fluid cavitation and ""run dry"" damage to power steering pump', 'Manufactured to OE power steering reservoir dimensions for proper clearance and factory appearance', 'High-quality heat and oil-resistant polymer tank material withstands intense engine heat and high pressure pump pulsation', '24 Month Unlimited Mileage Warranty']",0%,0%,0%,0%,0%
6.38 x 2.52 x 2.4 inches; 5.61 ounces,B0DPM5NWRL,None,Hannaera,Hannaera Store,None,None,None,Medium-High-100ml,None,$9.99,None,None,"['Threadlocker: Thread locker has strong adhesion and can fix screws, nuts, and metal fasteners to prevent loosening due to vibration', 'Sealing and leakage prevention: Using thread locker cores instead of solid gaskets, close contact, perfect sealing, and effective leakage prevention', 'Prevents Rust and Corrosion: Protects from leaks, rusting, and corrosion and eliminates need to stock up on expensive lock nuts and washers', 'Easy to use: Simply apply the threadlocker evenly to the thread, tighten the nut, and cure initially for 20 minutes, then fully cure within 24 hours', ""Wide application: Whether you're installing a valve cover, water pump, or just tightening down some furniture screws, blue threadlocker has you covered. Our screw glue can be used on a variety of automotive, industrial and furniture applications""]",80,10,4,2,4
13 x 10 x 6 inches,B0DPKWL6YH,None,ACUSMAA6084,BlyeMichdi Store,None,None,None,ACUSMAA6084,None,$19.99,None,None,"['【Premium Material】 Our oil absorbing sheets are made of high density filter cotton, which is durable and not easy to tear, and has good oil absorbing and water absorbing performance. It is also very durable and can be used for a long time, giving you a good experience', '【Easy to Use】Our oil absorbing sheets measure approximately 10 x 13 inches, making them large enough for wiping garage tools, machines, cars, or as a mat. Easily cut to the size you want and as easy to use as paper towels, you can use the absorbent pads directly to keep your items clean and tidy without any tools', '【Composite Dimples】The surface of the oil absorbent pads is designed with mesh oil absorption holes, which can quickly absorb oil and water. The multi-layer fiber structure gives it a huge adsorption capacity, and it can quickly absorb oil while preventing all subsequent leaks and overflows', '【Versatile Use】These absorbent pads can absorb both oil-based and water-based liquids. Oil-based liquids such as gasoline, coolant, vehicle oil leaks, and machinery product leaks, as well as water-based liquids such as accumulated water, rainwater, and sewage', '【Package Includes】You will receive 50 pieces of 13×10 inch gray oil absorbent pads, packaged in a cardboard box. The ample quantity meets your various use and replacement needs']",0%,0%,0%,0%,0%
10 x 9 x 7.08 inches,B0DJX5VVWG,None,Oil Absorbent Pads,GOVNPJ Store,None,None,None,Oil Absorbent Pads,None,$27.99,None,None,"['PACKAGE INCLUDES: You will receive 100 pcs 13 x 9.8 inch gray oil absorbent pads packed in a cardboard box. Plenty of quantity to meet your various use and replacement needs.', 'VERSATILE USE: These absorbent pads can absorb both oil-based and water-based liquids. Oil-based liquids such as gasoline, coolant, automotive oil leaks and mechanical product leaks, and water-based liquids such as standing water, rainwater and sewage.', 'PREMIUM QUALITY MATERIAL: These absorbent pads are made of high melting point polypropylene fibers with excellent absorption capacity, each pad can absorb up to 12 times its weight in oil. They quickly absorb and lock in oil to prevent spills.', 'COMPOUND INDENTATION: The surface of the absorbent pads has compound indentations and vertical perforation lines, making them durable, abrasion-resistant and resistant to damage or tearing.', 'EASY TO USE: For smaller operating areas, absorbent mats can be used straight or cut to size; for larger areas, multiple mats can be spliced together; and for stationary areas, such as leakage zones underneath machines, multiple mats can be stacked together.']",0%,0%,0%,0%,100
16.93 x 9.65 x 3.94 inches,B0DL5XDY53,None,JYD-Threlaco-1928,Brand: Threlaco,None,None,None,JYD-Threlaco-1928,None,$19.99,None,None,"['You Will Receive: 10 pieces oil absorbent pads, which can be applied for a long time; This quantity ensures you always have a spare at hand, so they can relief you the stress of frequent ordering', 'Quality Material: our oil absorbent pads are made of quality filter cotton, so they are highly effective in containing oil spills; You can use our oil spill pads to preserve your surface away from oil spills', 'Ideal Size: the oil absorbent mat is about 17 x 30 inches/ 43 x 76 cm. The mat is large enough to absorb spills effectively yet compact enough to handle with ease. This size ensures easy placement and removal after usage', 'User Friendly: The oil absorbent pads are easy to use, which can provide an efficient solution for oil spills. you can Simply position these pads on top of the spill and they can work well. The pads can be disposed of after use conveniently', 'Wide Applications: our oil spill mats can be applied in workshops, garages, or any other location prone to oil spills. These pads are nice for both personal and professional spaces, which serve as a dependable spill cleanup solution']",36,64,0%,0%,0%
9.84 x 2.56 x 2.52 inches,B0DN9J3W5N,None,DFBL-20241116,cocomfix Store,None,None,None,DFBL-20241116,None,$12.49,None,None,"['Adopts High-Quality Urethane: cocomfix update windshield glue, fast curing in 24 h, high adhesion, medium viscosity, non-sagging, fit vertical application, hold windshield firmly with super strong & flexible performance', 'All Weather Resistance: cocomfix windshield adhesive keeps texture stable during application, and holds in extreme weather condition; plus, cured durable--sunlight exposure, strom, cold, all these won’t affect repair result', 'Repair Can’t Be Easier: Generous 310ml volume, bottle size design fit both mannual & electric caulking gun, all accessories include-- gloves & nozzle, neat & excellent repair is destined, no extra effort, consider every detail of maintenance for you', 'Versatile For Auto Installation & Sealing: Our windshield sealant bonds & seals multiple parts of automotive— windshield, convertible top, car body, backlights, sidelights, stop leaking, hold these items firmly, protect safety for passengers', 'Full Trust without Concern: If our urethane adhesive below your expectation, we will provide an intact substitute or indemnify the original value of your order, so please get in touch with us when in need!']",58,29,6,7,0%
15.5 x 11.5 x 1.75 inches; 10.58 ounces,B0DLW3WG74,None,Gosknor,Brand: Gosknor,None,None,None,09109,None,$12.99,None,None,"[""Package Content: You will receive 1 carburetor cleaning kit, including 10 nylon brushes, 20 cleaning needles, 2 hexagonal wrenches, 2 pointed picks and 26 cleaning wires, 60 pieces in total. It's a complete kit to help you clean tricky corners and simplify your maintenance tasks."", 'Premium Material: The carb cleaning brushes are made of good-quality nylon and stainless steel material, which have good elasticity, not easy to fall off and deform, long-lasting and reusable.', 'Compact Storage: The kit comes with a detachable key ring, making it easy to hang and store for use whenever needed.', 'Practical Tools: Routine maintenance with the kit can help prevent clogs and other issues that need repairs, keeping your engine running smoothly.', 'Wide Application: These carburetor cleaning tools are suitable for cleaning small openings and tight spaces, such as nozzles, wielding tips, air tools, etc., and also ideal for various types of carburetors in motorcycles, lawn equipment, and older vehicles.']",64,19,17,0%,0%
10 x 7 x 3.5 inches,B0DLYW6QWH,None,4-00-VB40aX2,Brand: Deatsch Werks,None,None,None,4-00-VB40aX2,None,$419.32,None,None,"['VB40aX2 Dual Fuel Pump 40 Amp Voltage Booster', 'Leading Manufacturer Of High-Quality Products', ""Follow the manufacturer's specifications for safe usage"", 'Manufactured to exceed OEM specifications', 'Fuel Pumps']",0%,0%,0%,0%,0%
5.6 x 4.5 x 4.5 inches,B0DMWRLFMM,None,HA1021299,Brand: Autotecnica,None,None,None,HA1021299,None,$22.60,None,None,"['Guaranteed fitment', 'Replacement of your cracked and leaking power steering reservoir helps prevent low-fluid cavitation and ""run dry"" damage to power steering pump', 'Manufactured to OE power steering reservoir dimensions for proper clearance and factory appearance', 'High-quality heat and oil-resistant polymer tank material withstands intense engine heat and high pressure pump pulsation', '24 Month Unlimited Mileage Warranty']",0%,0%,0%,0%,0%
18 x 16 x 12 inches,B0CYQFDQHS,None,P-OP-255-18,Brand: Precambrian,None,None,None,P-OP-255-18,None,$53.68,None,None,"['Super Absorbent Technology: Engineered to quickly and effectively soak up oil spills, making cleanup fast and hassle-free. Perfect for managing even large spills without leaving a mess behind.', 'Compact and Space-Saving: Easy to store in your garage, shed, or toolkit without taking up much room—always ready when you need it.', 'Eco-Friendly Choice: Made from recycled materials, these pads help reduce your environmental footprint while keeping your workspace clean. Sustainability and practicality in one product.', 'Versatile Applications: For maintaining cars, trucks, and heavy machinery. Perfect for handling spills in factories, auto shops, and industrial facilities. It even works great for cleaning baking trays and tackling stubborn kitchen grease!', 'Motorcycle Oil Changes: Designed with motorcycle enthusiasts in mind, this pad makes oil changes smooth, clean, and stress-free. No more drips or stains in your garage or driveway.']",100,0%,0%,0%,0%
13.58 x 10.24 x 1.97 inches,B0DNTY3N9D,None,00056-WZY,Brand: QuZCarious,None,None,None,00056-WZY,None,$17.99,None,None,"['【Package Includes】:You will receive 50 pieces of 13×10 inch oil absorbent pads. Sufficient quantity to meet your various purposes and daily use.', '【Quality Material】:Made from high-melt polypropylene fibers, these water absorbent pads boast excellent adsorption capacity, with each pad able to absorb up to 12 times its weight in oil. They quickly absorb and lock in oils to prevent leaks.', '【Fast Absorbing Oil Mat Pads】:The surface of the oil absorbing pads features composite dimples with vertical perforation lines, making them durable, wear-resistant, and not easily damaged or torn.', '【Easy to Use】:For smaller operational areas, the pads can be used directly or cut to size; for larger areas, multiple pads can be spliced together; for fixed areas such as under machinery leak zones, multiple pads can be stacked.', '【Wide Applications】:These absorbent pads can absorb both oil-based and water-based liquids. Oil-based liquids such as gasoline, coolant, vehicle oil leaks, and machinery product leaks, as well as water-based liquids such as accumulated water, rainwater, and sewage.']",0%,0%,0%,0%,0%
3.15 x 2.95 x 1.3 inches; 7.2 ounces,B0DM5LGYTM,None,RC-LJQ-265,Brand: atsuch,None,None,None,None,None,$16.99,None,None,"['[Replacement]Gear Lube Reservoir Fitting Assy kit for 22-861150T02, 22-861150A2, 22-861150A1, 22-861163', '[Compatible with]Gear Lube Hose Connector and Gear Lube Fitting Kit Compatible With MerCruiser Alpha One Gen 2 and Bravo 1 2 3 Stern Drives', '[Package included] 1 x Gear Lube Hose Connector, 1 x Gear Lube Fitting , 3 x O-Rings,1 x semi-circular metal shim clip', '[Excellent Material] Made of excellent material, stable, durable and long service life. Easy to install, plug and play', '[Note] Please check the model of the replacement parts and the applicable machine type before purchasing to ensure correct installation. If you have any questions, please leave us a message']",0%,0%,0%,0%,0%
3.2 x 3.2 x 1.1 inches,B0DJP7NGPV,None,22-861150T02,Brand: Fit4drive,None,None,None,None,None,$22.99,None,None,"['Compatibility ===== These gear oil lube fittings are specifically designed to fit MerCruiser Alpha, Alpha One Gen 2 and Bravo 1 2 3 Sterndrives models. They are suitable replacements for the original part numbers 22-861163, 22-861150T02, 22-861150A2, 22-861150A1', 'High-Quality Construction ===== Crafted with durable materials, these gear oil lube fittings are built to withstand the demands of marine environments. They are designed to provide reliable lubrication and ensure smooth operation of the gear system', 'Efficient Lubrication ===== The gear oil lube fittings play a crucial role in delivering lubrication to the gears, ensuring smooth and efficient operation. They help to minimize friction, reduce wear and tear, and extend the lifespan of the gear system', 'Value Pack ===== This pack includes two gear oil lube fittings, providing you with a convenient and cost-effective solution for your Mercruiser Alpha 1 Gen 2 or Bravo. Having a spare fitting on hand ensures that you can quickly replace any worn or damaged fittings', 'After-Sales Service ===== We offer 24 hours customer service and 1 year product service, If you are encounter product installation, product quality and other problems, please feel free to contact us']",0%,0%,0%,0%,0%
10.63 x 9.84 x 9.84 inches,B0DJY3YNYD,None,EES-Swiffen-0956,Brand: Swiffen,None,None,None,EES-Swiffen-0956,None,$30.99,None,None,"['Sizeable for Versatility: these oil absorbent pads measure 787.4"" long x 9.84"" wide, there is a dividing line every 10 inches, you can divide the mat according to your needs, helping you maximize its utility', 'Universal Mat: oil cleanup absorbent pads absorb most liquids and are ideal for handling oil, coolant, and even water spills, prevent spills from spreading and make cleanup easy; Not easy to tear and wear, providing you with a long time of use', 'Quality Material: made with quality Polypropylene, our oil absorbent mats provide good durability that ensures they are not easy to wear, making them nice for demanding oil cleanup tasks', 'Ultrasonic Pressure Point Coating Design: our ultrasonic pressure point coating absorbent spill pads are multi layered, which can absorb a large amount of seeping oil and speed up the absorption speed', 'Wide Application: whether it is a garage, basement, workshop, kitchen or industrial area, our water absorbent pads can quickly control and clean up oil spills, ensuring a clean and tidy environment for your belongings']",37,31,0%,32,0%
8 x 6 x 2 inches; 1.6 Pounds,B0DKVKNPRT,None,Adhesive Guru,ag adhesive guru Store,None,None,None,AG330,None,$22.99,None,None,"['HIGH-TEMP RTV SILICONE: Functions as a gasket maker and sealant, resistant to heat (Room Temperature Vulcanized) Silicone, primarily utilized for sealing in heating systems, automobiles, and other vehicles, particularly for sealing and adhering motor components.', 'PHYSICAL STRAIN: Exhibits high temperature and heat resistance ranging from 104ºF to 572ºF. Maintains resistance up to 482 ºF under continuous exposure and up to 572 ºF under temporary heat exposure.', 'RECOMMENDED APPLICATIONS: Conveniently applicable for sealing stoves and areas requiring high heat resistance, such as heating devices, pumps, motors, chimneys, hot water boilers, electric home appliances, rear main bearing cap split line, automatic transmission pan, case halves and inside cover, damper keyway sealing, differential cover, manifolds, oil pan corner seals, thermostat, transmission pan, valve cover gasket, water pump cover gasket, exhaust manifold & connection points.', 'PRODUCT FEATURES: Utilizes an acetoxy system for curing, resulting in the formation of a flexible silicone gasket upon curing. Demonstrates excellent bonding capabilities across a wide range of applications, resisting cracking, shrinking, and migration due to thermal cycling, as well as resistance to oil, water, and toxic chemicals. Exhibits pressure resistance, forming airtight and leak-proof gaskets in seconds.', 'EASE OF USE: Waterproof, capable of gasketing and sealing on most surfaces. Instantly conforms to any shape without shrinking or cracking, boasting high resistance and fast curing properties. Exhibits remarkable resistance to physical strain post-curing, along with superior adhesion and flexibility. Adhesive Guru Silicone Sealants are made in Türkiye (8684221541058)']",74,6,10,0%,10
4 x 1 x 1 inches; 0.78 ounces,B0DMFR5WY4,None,Vibra-Tite,Vibra-TITE Store,None,None,None,S121,None,$22.20,None,None,"['Anaerobic threadlocker', 'Medium Strength', 'No Drip', 'Easy to apply']",0%,0%,0%,0%,0%
4.17 x 3.19 x 0.83 inches; 1.76 ounces,B0DJ2955P6,None,FXBSQF,Brand: FXBSQF,None,None,None,None,None,$9.99,None,None,"['【High Quality Zipper Lubricant】If you are always frustrated with tight snap button/ stuck zipper, you just need to use a little zip lubricant wax on the zipper. Next time, you will find that you can open buttons and zippers very easily.', '【Wide applications】This zipper lubricant can only use in clothes zipper like rboat covers, drysuit zipper, life vest, jackets zipper, windows and drawers, universal zipper repair kit, are also good for marine travel, travel awaits party, coat zipper, camping tent zipper, window zipper.', '【Enhanced Zipper Performance】Use this quality wax frequently, will enhances the performance of your zipper, reducing friction and ensuring easy unzipping; easily maintain the functionality of your zipper and enjoy seamless use in a variety of conditions', '【Easy to Use】Simply apply the grease to the center of the zipper, take a few times to distribute it evenly, it will instant become smooth and easy zipper opening', '【Abundant Quantity】: the set contains 4 pieces of lube, providing ample supply for your multiple uses and future needs; it is compact and portable, easy to carry and use on the go.']",59,41,0%,0%,0%
8.54 x 6.14 x 0.67 inches; 9.59 ounces,B0DJRGQ56Z,None,WoBiogHo,Brand: WoBiogHo,None,None,None,threadlocker-blue-242&red-271,None,$9.99,None,None,"['Superior Adhesion, Reliable Locking: The thread locker boasts exceptional adhesive strength, securely fastening screws, nuts, and metal fasteners to prevent loosening caused by vibration. It ensures stable and dependable connections, even in high-vibration environments, meeting various tightening needs and providing reliable solutions', 'Outstanding Sealing Performance, Leak-proof: Utilizing thread locker core materials instead of traditional solid gaskets, it achieves tight contact and perfect sealing, with heat and water resistance. It effectively prevents the leakage of liquids and gases, ensuring the normal operation of equipment and products, suitable for both indoor and outdoor use', 'Corrosion Protection, Extends Lifespan: It offers comprehensive protection for metal parts, preventing leaks, rust, and corrosion, thereby extending the lifespan of fasteners and related equipment. It also eliminates the need to stock up on expensive lock nuts and washers, saving costs and making it a must-have for home and industrial maintenance', ""Easy to Use, Fast Curing: The application method is simple and straightforward. Just apply the thread locker evenly on the threads, tighten the nut, and it will initially cure in 20 minutes, fully curing within 24 hours. It's convenient and easy to master, with the medium-strength blue thread locker easily removable using basic hand tools,the high-strength red thread locker require heating to approximately 250 ° C (482 ° F) for removal"", ""Wide Application, Multi-scenario Solutions: Whether you're installing cylinder heads, water pumps, or tightening furniture screws, the blue thread locker can handle it with ease. It is suitable for a variety of automotive, industrial, and furniture applications, offering reliable performance and wide applicability, making it the ideal choice for various fastening needs, helping you save money and time""]",76,16,8,0%,0%
"7""W x 9""H",B0DB8FBVMM,None,SMJT-006,SMART JERRY Store,None,None,Blue & Translucent,Cooling System Spill Free Funnel Kit,None,$19.98,None,None,"['Smart Jerry radiator coolant funnel features translucent body with clear scale, holds up to 77 oz (2.3L) coolant, allows precise control of the coolant to be added, eliminates trapped air pockets which causes erratic cooling system and heater perfoemance', 'This antifreeze funnel kit comes with 5 adaptors and 4 caps, works on almost any domestic or imported vehciles; and comes with 2 pcs straight extension tubes & 2 pcs 45° elbows allow access to caps located under shrouds or in fender wells', 'Smart Jerry special designed funnel with adaptor equipped with rubber gasket ensures no spill and no lekage during changing radiator coolant, flushing systems, vacuum filling, or replacing hoses, keeps vehicle cooling system and and other engine parts clean', 'Unlike other coolant refill kit comes with a separate fluid stopper, Smart Jerry funnel designed with a shut-off valve on the funnel which coltrol the flow velocity of the coolant in a easier way, ensures coolant changing/refilling job more easy and convenient', 'Order this funnel kit with no worry, seller responsible for any quality or parts missing issues, all messages will be replied and issue will be solved within 15 hours', 'burping funnel for radiator, cooling system flush kit, coolant flush kit, radiator bleeder kit, antifreeze flush kit, coolant funnel burping kit, spill free funnel, radiator burp funnel, radiator bleeder,']",70,17,5,4,4
2.99 x 2.24 x 1.1 inches,B0DK8ZZV3S,None,Dun-VWDSG,Brand: Dunviku,None,None,None,None,None,$8.35,None,None,"['【Material】The product is made of high quality aluminium alloy,high quality for durable use,not easy to rust,providing extended performance and peace of mind', '【Compatibility】The product compatible with VW Beetle DSG 2004-2007, 2012-2017, CC DSG 2009-2017, Eos DSG 2007-2016, Golf Alltrack DSG 2017-2019, GTI DSG 2006-2020, Golf R DSG 2015-2020, Jetta DSG 2005-2018, Passat DSG 2010-2018, VW R32 DSG 2008', '【Compatibility】The product compatible with Aodi A3 DSG 2006-2018, S3 DSG 2015-2019, TT DSG 2008-2009, TT Quattro DSG 2004-2006, 2008-2018', '【Function】The transmission automatic lubricator adapter is threaded connector for the automotive oil pan ATF lubricator tool', '【Package includes】1 pcs transmission fluid atf fill adapter,The product is easy to install,just need to remove the the old product and replace it. no need to drill or cut, strong and not easy to fall off']",0%,0%,0%,0%,0%
5.5 x 5.5 x 5.5 inches,B0DMWS68FS,None,HA1021120,Brand: Autotecnica,None,None,None,HA1021120,None,$36.17,None,None,"['Guaranteed fitment', 'Replacement of your cracked and leaking power steering reservoir helps prevent low-fluid cavitation and ""run dry"" damage to power steering pump', 'Manufactured to OE power steering reservoir dimensions for proper clearance and factory appearance', 'High-quality heat and oil-resistant polymer tank material withstands intense engine heat and high pressure pump pulsation', '24 Month Unlimited Mileage Warranty']",0%,0%,0%,0%,0%
8.35 x 5.31 x 2.24 inches,B0DMT7J5NN,None,7110,Brand: Generic,None,None,None,7110,None,$33.99,None,None,"['Protects the catalytic converter from clogging with soot.', 'Cleans the injection system and the combustion chamber.', 'Improves the combustion of the fuel.', 'Clean engines reduce fuel consumption and therefore CO2 emissions.', 'Suitable for all gasoline engines with a catalytic converter.']",53,18,0%,0%,29
2 x 2 x 2 inches; 1 Pounds,B0DM1ZDMJ1,None,GOODTAKE,GOODTAKE Store,None,None,None,None,None,$18.98,None,None,"['Ultra-Fine Graphite Powder - 100% Pure graphite powder, Ultra-fine powder graphite, easy for you to use with the high quality graphite powder lubricant. Great for making pigment or blending with various resins.', 'Awesome Job - Graphite lubricant can help lubricant your locks, bearings, bike chains, fishing plates and other sophisticated applications to boost and improve their speed.', 'Easy Coloring - Graphite powder for artists, suitable for your large area coloring of graphite powder. simple to use, and color quickly. Professional graphite powder, strong coverage, lasting light resistance, can be integrated with a variety of color powder, natural transition.', 'Multi-Use - Powdered graphite works on lubricant for locks, bearings, firearms internal parts, fishing reels, etc. Also Enhances Bearing Corrosion Resistance . Using ultra-fine graphite powder can achieve 400 purposes and let you used fre']",0%,100,0%,0%,0%
